,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,PF,PTS,STL,BLK,TO,BLKA,PFD,POSS,SCREEN_ASSISTS,DEFLECTIONS,CHARGES_DRAWN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,OFF_BOXOUTS,DEF_BOXOUTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,D_FGM,D_FGA,DRIVES,DIST_MILES_OFF,DIST_MILES_DEF,TOUCHES,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,OREB_CONTEST,OREB_CHANCES,DREB_CONTEST,DREB_CHANCES
0,99999999,1610612738,BOS,999999,Jackson Lautier,37:48:00,7.0,20.0,2.0,8.0,3.0,5.0,2.0,19.0,3.0,0.0,2.0,4.0,4.0,72,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,7.0,10.0,1.4,1.0,73.0,48.0,52.0,2.0,14.0,0.0,9.0,0.0,6.0
0,0022200939,1610612753,ORL,1630532,Franz Wagner,30.000000:28,5.0,11.0,1.0,3.0,7.0,8.0,0.0,18.0,0.0,0.0,3.0,1.0,5.0,70,0.0,0.0,0.0,2.0,10.0,0.0,1.0,0.0,0.0,5.0,13.0,9.0,1.5,1.1,40.0,25.0,32.0,1.0,3.0,0.0,2.0,0.0,0.0
1,0022200939,1610612753,ORL,1631094,Paolo Banchero,31.000000:24,4.0,13.0,0.0,2.0,1.0,2.0,3.0,9.0,0.0,2.0,4.0,0.0,4.0,70,1.0,1.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,11.0,19.0,11.0,1.3,1.1,53.0,32.0,36.0,0.0,11.0,0.0,0.0,2.0,10.0
2,0022200939,1610612753,ORL,1628976,Wendell Carter Jr.,24.000000:06,6.0,13.0,1.0,4.0,6.0,8.0,2.0,19.0,0.0,1.0,1.0,0.0,4.0,52,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,13.0,1.0,0.9,0.8,56.0,41.0,34.0,1.0,1.0,2.0,4.0,1.0,8.0
3,0022200939,1610612753,ORL,203914,Gary Harris,22.000000:08,1.0,4.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,49,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,5.0,3.0,0.9,0.8,17.0,13.0,13.0,0.0,3.0,0.0,2.0,0.0,2.0
4,0022200939,1610612753,ORL,1628365,Markelle Fultz,31.000000:42,9.0,14.0,1.0,2.0,2.0,3.0,3.0,21.0,0.0,0.0,2.0,0.0,3.0,70,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,12.0,11.0,1.4,1.2,71.0,50.0,55.0,0.0,10.0,1.0,1.0,2.0,7.0
5,0022200939,1610612753,ORL,1630175,Cole Anthony,32.000000:58,10.0,16.0,3.0,7.0,5.0,7.0,4.0,28.0,0.0,0.0,1.0,0.0,4.0,71,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,10.0,15.0,1.4,1.2,65.0,44.0,43.0,0.0,8.0,2.0,2.0,0.0,6.0
6,0022200939,1610612753,ORL,1630591,Jalen Suggs,24.000000:42,3.0,9.0,0.0,2.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,58,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,4.0,8.0,4.0,1.0,1.0,33.0,22.0,17.0,1.0,5.0,1.0,5.0,0.0,4.0
7,0022200939,1610612753,ORL,1629021,Moritz Wagner,11.000000:54,1.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,29,3.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,8.0,0.0,0.5,0.4,18.0,14.0,10.0,0.0,0.0,0.0,2.0,0.0,5.0
8,0022200939,1610612753,ORL,1629626,Bol Bol,12.000000:36,1.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,27,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.4,0.5,9.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0
